English,Turkish,Indonesian,German,Arabic,Spanish,Hindi,French
Next,Sonraki,Berikutnya,Nächste,التالي,Siguiente,अगला,Suivant
OK,TAMAM,OKE,OK,حسنا,OK,ठीक है,D\'ACCORD
Cancel,İptal et,Membatalkan,Abbrechen,إلغاء,Cancelar,रद्द करना,Annuler
Retry,Yeniden dene,Mencoba kembali,Wiederholen,أعد المحاولة,Intentar de nuevo,ुन: प्रयास करे,Recommencez
Dismiss,Azlet,Membubarkan,Ablehnen,إلغاء,Descartar,नकार देना,Rejeter
Enable location access,Konum erişimini etkinleştir,Aktifkan akses lokasi,Standortzugriff aktivieren,تفعيل استخدام الموقع,Habilitar acceso a la ubicación,स्थान पहुंच सक्षम करे,Activer l\'accès à la localisation
Get started,Başla,Memulai,Loslegen,ابدأ الآن,Empezar,शुरू हो जाओ,Commencer
Enable notifications,Bildirimleri etkinleştir,Aktifkan notifikasi,Benachrichtigungen aktivieren,تفعيل الإشعارات,Permitir notificaciones,सूचनाएं सक्षम करें,Activer les notifications
Never miss Fajr prayer!,Sabah namazını asla kaçırmayın!,Jangan pernah melewatkan shalat Subuh!,Verpassen Sie niemals das Fajr-Gebet!,لا تفوت صلاة الفجر!,¡Nunca te pierdas la oración del Faŷr!,फज्र की नमाज़ कभी न चूकें!,Ne manquez jamais la prière du Fajr !
Wake up for Fajr by completing fun challenges,Eğlenceli mücadeleleri tamamlayarak sabah namazına uyanın,Bangun untuk Fajar dengan menyelesaikan tantangan menyenangkan,"achen Sie für Fajr auf, indem Sie lustige Herausforderungen meistern",استيقظ لصلاة الفجر من خلال استكمال تحديات ممتعة,Despierta para Faŷr completando divertidos desafíos,मजेदार चुनौतियों को पूरा करके फज्र के लिए जागें,Réveillez-vous pour Fajr en relevant des défis amusants
it will make sure the alarm works properly,alarmın düzgün çalıştığından emin olmanızı sağlar,itu akan memastikan alarm berfungsi dengan baik,"Dadurch wird sichergestellt, dass der Alarm ordnungsgemäß funktioniert",هذا للتاكد ان المنبه يعمل بشكل صحيح,Se asegurará de que la alarma funcione correctamente.,यह सुनिश्चित करेगा कि अलार्म ठीक से काम कर,cela garantira que l\'alarme fonctionne correctement
it will help us get the right prayer times for you,sizin için doğru namaz vakitlerini bulmamıza yardımcı olacaktır,ini akan membantu kami mendapatkan waktu sholat yang tepat untuk Anda,"Es wird uns helfen, die richtigen Gebetszeiten für Sie zu finden",هذا سيساعدنا لتحديد مواعيد الصلاة الصحيحة لك,Nos ayudará a conseguir los momentos de oración adecuados para usted.,इससे हमें आपके लिए सही प्रार्थना समय प्राप्त करने में मदद मिलेगी,cela nous aidera à trouver les bons horaires de prière pour vous
Azan Sounds,Ezan Sesleri,Suara Azan,Azan-Sounds,صوت الآذان,Sonidos de Azán,अज़ान की आवाज़,Sons Azan
Fajr alarm sound,Sabah alarmı sesi,Suara alarm Subuh,Fajr-Alarmton,صوت منبه الفجر,Sonido de alarma Faŷr,फज्र अलार्म ध्वनि,Son d\'alarme Fajr
Azan Sounds,Ezan,Azan,Azan,آذان,Azán,अज़ान,Azan
Other,Diğer,Lainnya,Andere,آخرى,Otro,अन्य,Autre
Please check your internet connection and try again,Lütfen internet bağlantınızı kontrol edin ve tekrar deneyin,Silakan periksa koneksi internet Anda dan coba lagi,Bitte überprüfen Sie Ihre Internetverbindung und versuchen Sie es erneut,من فضلك تأكد من الاتصال بالانترنت وحاول مرة اخرى,"Por favor, verifica tu conexión a Internet e inténtalo nuevamente.",पने इंटरनेट कनेक्शन की जाँच करें और पुन: प्रयास करे,"S\'il vous plaît, vérifiez votre connexion à internet et réessayez"
No internet connection. Please check your internet connection and try again,İnternet bağlantısı yok. Lütfen internet bağlantınızı kontrol edin ve tekrar deneyin,Tidak ada koneksi internet. Silakan periksa koneksi internet Anda dan coba lagi,Keine Internetverbindung. Bitte überprüfen Sie Ihre Internetverbindung und versuchen Sie es erneut,لا يوجد اتصال بالنترنت. من فضلك تأكد من الاتصال بالانترنت وحاول مرة اخرى,"Sin conexión a Internet. Por favor, verifica tu conexión a Internet e inténtalo nuevamente.",कोई इंटरनेट कनेक्शन नहीं. अपने इंटरनेट कनेक्शन की जाँच करें और पुन: प्रयास करे,"Pas de connexion Internet. S\'il vous plaît, vérifiez votre connexion à internet et réessayez"
No internet connection. You need internet connection to download new sounds.,İnternet bağlantısı yok. Yeni sesler indirmek için internet bağlantısına ihtiyacınız var.,Tidak ada koneksi internet. Anda memerlukan koneksi internet untuk mengunduh suara baru.,Keine Internetverbindung. Bitte überprüfen Sie Ihre Internetverbindung und versuchen Sie es erneut,لا يوجد اتصال بالإنترنت. تحتاج إلى اتصال بالإنترنت لتنزيل أصوات جديدة.,,कोई इंटरनेट कनेक्शन नहीं. नई ध्वनियाँ डाउनलोड करने के लिए आपको इंटरनेट कनेक्शन की आवश्यकता है,Pas de connexion Internet. Vous avez besoin d\'une connexion Internet pour télécharger de nouveaux sons.
lease enable Fajr Alarm to send you notifications via your phone settings,Lütfen telefon ayarlarınız aracılığıyla size bildirim göndermesi için Sabah Alarmını etkinleştirin,Harap aktifkan Alarm Fajar untuk mengirimi Anda pemberitahuan melalui pengaturan telepon Anda,"Bitte aktivieren Sie Fajr Alarm, um Ihnen Benachrichtigungen über Ihre Telefoneinstellungen zu senden",يرجى تمكين منبه الفجر لإرسال إشعارات عبر إعدادات هاتفك,Sin conexión a Internet. Necesitas conexión a Internet para descargar nuevos sonidos.,ृपया अपनी फ़ोन सेटिंग के माध्यम से आपको सूचनाएं भेजने के लिए फज्र अलार्म को सक्षम करें,Veuillez activer l\'alarme Fajr pour vous envoyer des notifications via les paramètres de votre téléphone.
